Variable,Sum (bn),Nonzero count (m)
c01000,1875.8,19.5
k1bx14p,0.0,0.0
surtax,0.0,0.0
codtc_limited,46.0,32.9
c10960,9.8,10.4
benefit_cost_total,2272.9,139.5
ymod1,15254.1,186.9
fstax,0.0,0.0
earned_s,2766.0,60.4
c07200,0.1,1.1
g20500_capped,0.0,0.0
taxable_ubi,0.0,0.0
c04800,11595.0,125.7
MIDR,0.0,0.0
e18500_capped,305.1,52.0
sep,0.2,227.8
c05700,0.0,0.0
data_source,0.0,0.0
earned_p,8343.1,159.7
sey,694.8,24.2
rptc_s,0.0,0.0
dwks14,4930.6,27.5
k1bx14s,0.0,0.0
c07260,2.7,3.0
other_ben,0.0,0.0
rptc_p,0.0,0.0
refund,95.9,42.6
exact,0.0,0.0
cmbtp,0.0,0.0
num,0.3,227.8
standard,1592.7,181.0
c05800,2585.4,123.3
dwks10,2196.7,40.3
c19200,331.9,37.2
c17000,6.5,0.4
c02500,1.1,0.4
c07220,34.6,27.6
a_lineno,0.0,0.0
c20800,165.6,14.2
f6251,0.0,0.0
ptax_amc,13.6,5.7
ubi,0.0,0.0
vet_ben,0.0,0.0
ffpos,0.0,0.0
agi_bin,0.0,0.0
c07300,32.7,9.3
mcare_ben,0.0,0.0
c21040,93.0,5.5
PT_SSTB_income,0.0,0.0
c21060,1505.7,46.8
personal_nonrefundable_credit,0.0,0.0
rptc,0.0,0.0
pre_c04600,1604.0,227.8
c07230,10.7,9.1
c59660,63.2,33.5
c07180,4.2,7.4
personal_refundable_credit,0.0,0.0
invinc_agi_ec,0.0,0.0
dwks43,1685.4,28.7
c00100,15039.8,186.7
e20400_capped,253.3,37.6
c19700,343.2,38.9
was_plus_sey_s,2768.8,61.0
c07240,1.5,7.8
c05200,2888.1,125.7
charity_credit,0.0,0.0
qbided,0.0,0.0
c02900,215.4,33.5
c62100,14302.8,186.2
ptax_was,1346.8,160.6
mtr_paytax,0.0,0.0
care_deduction,0.0,0.0
