Variable,Sum (bn),Nonzero count (m)
surtax,0.0,0.0
codtc_limited,39.4,29.0
c10960,8.8,9.5
benefit_cost_total,2032.3,124.6
ymod1,15027.4,173.3
fstax,0.0,0.0
earned_s,2571.3,51.3
c07200,0.2,1.5
g20500_capped,0.0,0.0
taxable_ubi,0.0,0.0
c04800,11879.2,124.1
MIDR,0.0,0.0
e18500_capped,223.9,42.8
sep,0.2,214.0
c05700,0.0,0.0
data_source,0.0,0.0
earned_p,8424.0,147.4
sey,512.9,21.3
rptc_s,0.0,0.0
dwks14,3884.8,22.6
k1bx14s,0.0,0.0
c07260,2.2,2.6
other_ben,0.0,0.0
rptc_p,0.0,0.0
refund,75.3,35.5
exact,0.0,0.0
cmbtp,0.0,0.0
num,0.3,214.0
standard,1509.6,173.0
c05800,2541.9,121.6
dwks10,2809.3,33.6
c19200,251.6,31.1
c17000,12.6,0.7
c02500,1.5,0.6
c07220,33.3,26.3
a_lineno,0.0,0.0
c20800,113.4,11.6
f6251,0.0,0.0
ptax_amc,12.6,6.0
ubi,0.0,0.0
vet_ben,0.0,0.0
ffpos,0.0,0.0
agi_bin,0.0,0.0
c07300,25.6,7.3
mcare_ben,0.0,0.0
c21040,87.3,5.6
PT_SSTB_income,0.0,0.0
c21060,1183.4,41.0
personal_nonrefundable_credit,0.0,0.0
rptc,0.0,0.0
pre_c04600,1471.5,214.0
c07230,9.6,8.3
c59660,48.9,27.1
c07180,3.7,6.4
personal_refundable_credit,0.0,0.0
invinc_agi_ec,0.0,0.0
dwks43,1525.1,23.8
c00100,14893.0,173.1
e20400_capped,186.3,31.6
c19700,225.0,32.5
was_plus_sey_s,2574.3,51.8
c07240,1.7,8.8
c05200,2989.0,124.1
charity_credit,0.0,0.0
qbided,0.0,0.0
c02900,135.8,29.3
c62100,14367.7,172.6
ptax_was,1359.5,148.4
mtr_paytax,0.0,0.0
care_deduction,0.0,0.0
