table,datatype,year,fname,xlcolumn,xlrownum,incsort,incrange,vname,ptarget,table_description
tab11,taxable,2015,15in11si.xls,N,28,19,"$5,000,000 under $10,000,000",nret_taxac,28583,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,N,29,20,"$10,000,000 or more",nret_taxac,18012,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,10,1,All returns,nret_ti,99012731,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,11,2,No adjusted gross income,nret_ti,0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,12,3,"$1 under $5,000",nret_ti,197546,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,13,4,"$5,000 under $10,000",nret_ti,1924252,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,14,5,"$10,000 under $15,000",nret_ti,4333043,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,15,6,"$15,000 under $20,000",nret_ti,5195417,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,16,7,"$20,000 under $25,000",nret_ti,5402795,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,17,8,"$25,000 under $30,000",nret_ti,5319033,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,18,9,"$30,000 under $40,000",nret_ti,10562692,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,19,10,"$40,000 under $50,000",nret_ti,9702398,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,20,11,"$50,000 under $75,000",nret_ti,18679478,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,21,12,"$75,000 under $100,000",nret_ti,12562004,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,22,13,"$100,000 under $200,000",nret_ti,18400223,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,23,14,"$200,000 under $500,000",nret_ti,5413511,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,24,15,"$500,000 under $1,000,000",nret_ti,882224,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,25,16,"$1,000,000 under $1,500,000",nret_ti,195309,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,26,17,"$1,500,000 under $2,000,000",nret_ti,79782,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,27,18,"$2,000,000 under $5,000,000",nret_ti,116391,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,28,19,"$5,000,000 under $10,000,000",nret_ti,28602,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,K,29,20,"$10,000,000 or more",nret_ti,18030,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,10,1,All returns,taxac,1435848586,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,11,2,No adjusted gross income,taxac,241975,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,12,3,"$1 under $5,000",taxac,40942,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,13,4,"$5,000 under $10,000",taxac,368015,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,14,5,"$10,000 under $15,000",taxac,1381283,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,15,6,"$15,000 under $20,000",taxac,3523850,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,16,7,"$20,000 under $25,000",taxac,6191130,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,17,8,"$25,000 under $30,000",taxac,8752577,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,18,9,"$30,000 under $40,000",taxac,25167659,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,19,10,"$40,000 under $50,000",taxac,32530107,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,20,11,"$50,000 under $75,000",taxac,99790385,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,21,12,"$75,000 under $100,000",taxac,105900927,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,22,13,"$100,000 under $200,000",taxac,316328337,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,23,14,"$200,000 under $500,000",taxac,297192494,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,24,15,"$500,000 under $1,000,000",taxac,151253134,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,25,16,"$1,000,000 under $1,500,000",taxac,64652109,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,26,17,"$1,500,000 under $2,000,000",taxac,38594091,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,27,18,"$2,000,000 under $5,000,000",taxac,98361813,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,28,19,"$5,000,000 under $10,000,000",taxac,54239522,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,O,29,20,"$10,000,000 or more",taxac,131338237,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,L,10,1,All returns,ti,7199620708,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,L,11,2,No adjusted gross income,ti,0,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,L,12,3,"$1 under $5,000",ti,302588,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,L,13,4,"$5,000 under $10,000",ti,3550314,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
tab11,taxable,2015,15in11si.xls,L,14,5,"$10,000 under $15,000",ti,14759480,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income"
